Statement,Link,Date, Source, Label
“Birmingham is officially out of gas and fuel and can’t get anymore.”,https://www.politifact.com/factchecks/2021/may/10/viral-image/no-birmingham-isnt-out-gasoline/,May 10^ 2021,Viral image,false
New Jersey “will be out of gas for a week.”,https://www.politifact.com/factchecks/2021/may/10/facebook-posts/new-jersey-isnt-out-gas-and-s-unlikely-change/,May 10^ 2021,Facebook posts,false
"Scientists Claim to Spot Fungus Growing on Mars in NASA Rover Photos”,https://www.politifact.com/factchecks/2021/may/10/blog-posting/no-rover-photos-arent-proof-scientists-have-found-/,May 10^ 2021,Bloggers,false
Caitlyn Jenner “literally killed someone 6 years ago in the streets and was released by a District Attorney.”,https://www.politifact.com/factchecks/2021/may/10/facebook-posts/was-caitlyn-jenner-released-district-attorney-afte/,May 10^ 2021,Facebook posts,barely-true
“The death rate for fully vaccinated people is significantly higher than non-vaccinated [people].”,https://www.politifact.com/factchecks/2021/may/10/instagram-posts/no-death-rate-vaccinated-people-not-higher-unvacci/,May 10^ 2021,Instagram posts,false
After the American Rescue Plan’s food and nutrition assistance^ “hunger is already sharply down in the United States.”,https://www.politifact.com/factchecks/2021/may/10/joe-biden/fact-checking-bidens-claim-about-hunger-sharply-dr/,May 10^ 2021,Joe Biden,mostly-true
“Conventional generators are very thin right now because Texas has gone to so many renewables.”,https://www.politifact.com/factchecks/2021/may/10/institute-energy-research/renewables-arent-primary-factor-texas-mid-april-po/,May 10^ 2021,Institute for Energy Research,barely-true
Says Chelsea Clinton tweeted^ "If Jesus were alive today he'd be working at Planned Parenthood.",https://www.politifact.com/factchecks/2021/may/07/facebook-posts/no-chelsea-clinton-didnt-tweet-jesus-would-be-work/,• May 7^ 2021,Facebook posts,pants-fire
“First time in 70 years the National Day Of Prayer was not observed in our nation’s capital!”,https://www.politifact.com/factchecks/2021/may/07/facebook-posts/fact-checking-posts-about-2021-national-day-prayer/,• May 7^ 2021,Facebook posts,false
Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,https://www.politifact.com/factchecks/2021/may/07/jeff-jackson/us-senate-candidate-right-about-north-carolina-bod/,• May 7^ 2021,Jeff Jackson,true
“The global cost of corruption is as much as 5% of the world's GDP.”,https://www.politifact.com/factchecks/2021/may/07/kamala-harris/kamala-harris-said-corruption-costs-much-5-worlds-/,• May 7^ 2021,Kamala Harris,false
With the goal to preserve 30% of the earth’s land and water by 2030^ “300 million people stand to lose their land and livelihood^ most of them tribal and indigenous peoples.”,https://www.politifact.com/factchecks/2021/may/07/survival-international/would-protecting-30-worlds-land-and-waters-hurt-30/,• May 7^ 2021,Survival International,barely-true
"There’s no strings attached to that money that we’d be getting as an incentive to expand Medicaid.",https://www.politifact.com/factchecks/2021/may/07/jon-erpenbach/erpenbach-overstates-claim-there-are-no-strings-at/,• May 7^ 2021,Jon Erpenbach,half-true
An ongoing audit of the 2020 presidential election in Arizona “showed Trump ahead by 250^000” votes^ and “nearly 950^000 ballots are declared illegal^ nearly all for Biden.”,https://www.politifact.com/factchecks/2021/may/07/facebook-posts/no-truth-claim-arizona-audit-found-trump-250000-vo/,• May 7^ 2021,Facebook posts,pants-fire
All charges were dropped against Bill Cosby and he was granted an early release.,https://www.politifact.com/factchecks/2021/may/06/youtube-videos/bill-cosby-still-serving-prison-sentence-aggravate/,• May 6^ 2021,YouTube videos,false
“Between late December of 2020 and last month^ a total of 3^362 people apparently died after getting the COVID vaccine in the United States … The actual number is almost certainly higher.”,https://www.politifact.com/factchecks/2021/may/06/tucker-carlson/tucker-carlsons-misleading-claim-about-deaths-afte/,• May 6^ 2021,Tucker Carlson,false
Says Nikki Haley “white-washed” her name because she thought it “would give her a better chance than the name Nimrata Randhawa.”,https://www.politifact.com/factchecks/2021/may/06/viral-image/nikki-haley-has-gone-her-middle-name-her-whole-lif/,• May 6^ 2021,Viral image,pants-fire
"15-year-old boy passes away from heart attack two days after Pfizer COVID-19 experimental jab.",https://www.politifact.com/factchecks/2021/may/06/blog-posting/report-teen-died-2-days-after-covid-shot-was-unver/,• May 6^ 2021,Bloggers,false
"Joe Biden is proposing that any family who tries to pass a business or a farm down to their son or daughter or grandson or granddaughter are going to pay a huge new tax.",https://www.politifact.com/factchecks/2021/may/06/chris-christie/chris-christie-exaggerates-about-joe-biden-tax-pro/,• May 6^ 2021,Chris Christie,barely-true
“Washington Post ends fact-checking for Biden for the remainder of his presidency.”,https://www.politifact.com/factchecks/2021/may/06/facebook-posts/washington-post-still-fact-checking-joe-biden/,• May 6^ 2021,Facebook posts,false
“A year ago we had the lowest unemployment in history without using taxpayers money.”,https://www.politifact.com/factchecks/2021/may/05/facebook-posts/unemployment-was-lowest-ever-year-ago-no-it-was-hi/,• May 5^ 2021,Facebook posts,false
